provincia;canton;num_vivienda;num_hogar;num_persona;rol_hogar;sexo_nacim;anios;cultura;tip_colegio;nivel_academic;ocupacion;estado_conyugal;hijos;area;discapacidad;idiomas;tipo_vivienda
1;1;34;1;3;3;2;;6;0;1;99;0;99;1;8;0;4
1;1;35;1;1;1;1;25;6;0;5;99;6;99;2;8;2;5
1;1;35;1;2;2;2;26;6;0;8;99;6;3;2;8;2;5
1;1;35;1;3;3;2;4;6;0;1;99;0;99;2;8;2;5
1;1;35;1;4;3;2;2;6;0;1;99;0;99;2;8;2;5
1;1;35;1;5;3;1;1;6;0;1;99;0;99;2;8;2;5
1;1;36;1;1;1;2;32;2;0;8;5;6;2;1;8;2;4
1;1;36;1;2;3;2;15;2;1;8;99;6;99;1;8;2;4
1;1;36;1;3;3;1;9;2;1;6;99;0;99;1;8;2;4
1;1;36;1;4;9;2;30;2;1;11;1;3;1;1;8;2;4
1;1;36;1;5;9;1;11;6;1;6;99;0;99;1;8;2;4
1;1;37;1;1;1;1;78;6;0;11;99;5;99;1;8;2;1
1;1;37;1;2;2;2;72;6;0;7;99;5;4;1;8;2;1
1;1;37;1;3;3;2;39;6;0;13;1;6;99;1;8;2;1
1;1;38;1;1;1;2;23;6;0;8;1;4;99;2;8;2;4
1;1;38;1;2;9;2;14;6;1;6;99;6;99;2;8;2;4
1;1;38;1;3;9;2;7;6;1;6;99;0;99;2;8;2;4
1;1;39;1;1;1;1;62;6;0;11;99;4;99;1;7;2;1
1;1;40;1;1;1;1;36;6;0;11;1;5;99;2;8;2;2
1;1;40;1;2;2;2;37;6;0;12;2;5;1;2;8;2;2
1;1;40;1;3;3;1;2;6;0;2;99;0;99;2;8;2;2
1;1;41;1;1;1;1;40;6;0;5;1;5;99;2;8;2;5
1;1;41;1;2;2;2;34;6;0;8;99;5;2;2;8;2;5
1;1;41;1;3;3;1;11;6;1;6;99;0;99;2;8;2;5
1;1;41;1;4;3;1;6;6;1;6;99;0;99;2;8;2;5
1;1;42;1;1;1;1;74;6;0;5;6;5;99;1;8;2;1
1;1;42;1;2;2;2;69;6;0;5;99;5;3;1;8;2;1
1;1;42;1;3;3;2;45;6;0;11;2;5;2;1;8;2;1
1;1;44;1;1;1;2;69;6;0;5;99;4;5;1;8;2;1
1;1;45;1;1;1;1;43;6;0;7;6;5;99;1;8;2;4
1;1;45;1;2;2;2;39;6;0;7;6;5;2;1;8;2;4
1;1;45;1;3;3;2;20;6;2;11;99;6;99;1;8;2;4
